fit_time_ms,fit_amplitude,residual
5.0,0.9694271905190652,-0.0008970406450155011
10.0,0.9649331583127603,-0.0007789269391762499
17.5,0.958258461459676,-0.0006106848773028695
27.5,0.9494794591189503,-0.00041398400571612815
40.0,0.9386928334368722,-0.00019802554685477425
60.0,0.9218461751410675,7.907498226633614e-05
90.0,0.8974632568794524,0.00033906316051868224
137.5,0.8608217055536953,0.0005043796465095118
212.5,0.8071974417337511,0.0003161531531964412
330.0,0.7316924605159323,-0.00024572364661845647
510.0,0.6316638317365512,-0.00072180113161191
787.5,0.5053191572958289,0.0007043626861729102
1220.0,0.357702316636612,-0.00020092338802601972
