time_ms,average_normalized_signal,slice_0090_normalized_signal
0.0,1.0,1.0
5.0,0.99420112625139,0.99420112625139
10.0,0.9884646162239455,0.9884646162239455
15.0,0.9827863985423854,0.9827863985423854
20.0,0.9771637817313884,0.9771637817313884
25.0,0.971594783953088,0.971594783953088
30.0,0.9660778286181594,0.9660778286181594
35.0,0.9606115911221502,0.9606115911221502
40.0,0.9551949149425638,0.9551949149425638
45.0,0.94982676241787,0.94982676241787
50.0,0.944506184151356,0.944506184151356
55.0,0.9392322990346538,0.9392322990346538
60.0,0.9340042806419394,0.9340042806419394
65.0,0.9288213476159914,0.9288213476159914
70.0,0.9236827566520474,0.9236827566520474
75.0,0.9185877972294866,0.9185877972294866
80.0,0.9135357875547604,0.9135357875547604
85.0,0.9085260713662316,0.9085260713662316
90.0,0.9035580153670942,0.9035580153670942
95.0,0.898631007125932,0.898631007125932
100.0,0.8937444533322801,0.8937444533322801
105.0,0.8888977783264861,0.8888977783264861
110.0,0.8840904228449471,0.8840904228449471
115.0,0.8793218429369373,0.8793218429369373
120.0,0.8745915090199798,0.8745915090199798
125.0,0.8698989050484642,0.8698989050484642
130.0,0.865243527775853,0.865243527775853
135.0,0.8606248860950516,0.8606248860950516
140.0,0.85604250044466,0.85604250044466
145.0,0.8514959022712487,0.8514959022712487
150.0,0.8469846335396656,0.8469846335396656
155.0,0.842508246284815,0.842508246284815
160.0,0.8380663021995093,0.8380663021995093
165.0,0.8336583722538887,0.8336583722538887
170.0,0.8292840363426379,0.8292840363426379
175.0,0.8249428829568133,0.8249428829568133
180.0,0.8206345088775792,0.8206345088775792
185.0,0.8163585188895314,0.8163585188895314
190.0,0.8121145255116301,0.8121145255116301
195.0,0.8079021487440169,0.8079021487440169
200.0,0.803721015829224,0.803721015829224
205.0,0.7995707610264772,0.7995707610264772
210.0,0.7954510253979441,0.7954510253979441
215.0,0.7913614566059235,0.7913614566059235
220.0,0.7873017087200911,0.7873017087200911
225.0,0.783271442034003,0.783271442034003
230.0,0.7792703228901621,0.7792703228901621
235.0,0.7752980235130105,0.7752980235130105
240.0,0.7713542218492908,0.7713542218492908
245.0,0.7674386014152615,0.7674386014152615
250.0,0.7635508511503112,0.7635508511503112
255.0,0.7596906652765553,0.7596906652765553
