fit_time_ms,fit_amplitude,residual
5.0,0.9612566375724705,-0.000595461361704186
10.0,0.9557815048630443,-0.0005380486126244088
17.5,0.947663064612755,-0.0004494453270572629
27.5,0.9370106137727041,-0.0003468395769241628
40.0,0.9239637768944999,-0.00022282947537577424
60.0,0.9036850897917238,-4.495202875609561e-05
90.0,0.874564069845684,0.00014067008933837943
137.5,0.8313643401042443,0.00033514753026631094
212.5,0.7694897652428665,0.00030869613639972204
330.0,0.6852993451234765,-5.645481060634339e-06
510.0,0.5790416282176611,-0.0005423828089776705
787.5,0.45232203225926504,0.00036611066269504056
1220.0,0.3120976910635166,-8.284825436827292e-05
