time_ms,average_normalized_signal,slice_0003_normalized_signal
0.0,1.0,1.0
5.0,0.9958276572676312,0.9958276572676312
10.0,0.9916807764424692,0.9916807764424692
15.0,0.9875583988699058,0.9875583988699058
20.0,0.9834597435482596,0.9834597435482596
25.0,0.9793841568156834,0.9793841568156834
30.0,0.975331080220006,0.975331080220006
35.0,0.9713000285582934,0.9713000285582934
40.0,0.967290574221473,0.967290574221473
45.0,0.9633023356934118,0.9633023356934118
50.0,0.9593349689047568,0.9593349689047568
55.0,0.9553881606103002,0.9553881606103002
60.0,0.9514616232357048,0.9514616232357048
65.0,0.9475550908122752,0.9475550908122752
70.0,0.9436683157308614,0.9436683157308614
75.0,0.9398010661213548,0.9398010661213548
80.0,0.9359531237160976,0.9359531237160976
85.0,0.9321242820919562,0.9321242820919562
90.0,0.9283143452118106,0.9283143452118106
95.0,0.924523126205114,0.924523126205114
100.0,0.9207504463410056,0.9207504463410056
105.0,0.9169961341578194,0.9169961341578194
110.0,0.9132600247205768,0.9132600247205768
115.0,0.9095419589839598,0.9095419589839598
120.0,0.9058417832427856,0.9058417832427856
125.0,0.9021593486555384,0.9021593486555384
130.0,0.8984945108292158,0.8984945108292158
135.0,0.8948471294559507,0.8948471294559507
140.0,0.89121706799355,0.89121706799355
145.0,0.8876041933834758,0.8876041933834758
150.0,0.8840083758008916,0.8840083758008916
155.0,0.8804294884322851,0.8804294884322851
160.0,0.8768674072769094,0.8768674072769094
165.0,0.8733220109688694,0.8733220109688694
170.0,0.8697931806171812,0.8697931806171812
175.0,0.8662807996615142,0.8662807996615142
180.0,0.862784753741693,0.862784753741693
185.0,0.859304930579279,0.859304930579279
190.0,0.8558412198698206,0.8558412198698206
195.0,0.8523935131845272,0.8523935131845272
200.0,0.8489617038803167,0.8489617038803167
205.0,0.8455456870173024,0.8455456870173024
210.0,0.8421453592829256,0.8421453592829256
215.0,0.8387606189220274,0.8387606189220274
220.0,0.8353913656722443,0.8353913656722443
225.0,0.8320375007042013,0.8320375007042013
230.0,0.8286989265660163,0.8286989265660163
235.0,0.8253755471317029,0.8253755471317029
240.0,0.8220672675531084,0.8220672675531084
245.0,0.8187739942150485,0.8187739942150485
250.0,0.8154956346933585,0.8154956346933585
255.0,0.8122320977155965,0.8122320977155965
260.0,0.8089832931241699,0.8089832931241699
265.0,0.8057491318416767,0.8057491318416767
270.0,0.8025295258382786,0.8025295258382786
275.0,0.7993243881009404,0.7993243881009404
280.0,0.7961336326043826,0.7961336326043826
285.0,0.7929571742836159,0.7929571742836159
290.0,0.7897949290079344,0.7897949290079344
295.0,0.786646813556259,0.786646813556259
300.0,0.7835127455937257,0.7835127455937257
305.0,0.7803926436494382,0.7803926436494382
310.0,0.7772864270952913,0.7772864270952913
315.0,0.7741940161257981,0.7741940161257981
320.0,0.7711153317388475,0.7711153317388475
325.0,0.7680502957173343,0.7680502957173343
330.0,0.7649988306115971,0.7649988306115971
335.0,0.7619608597226192,0.7619608597226192
340.0,0.758936307085941,0.758936307085941
345.0,0.7559250974562353,0.7559250974562353
350.0,0.7529271562925158,0.7529271562925158
355.0,0.7499424097439269,0.7499424097439269
360.0,0.746970784636091,0.746970784636091
365.0,0.7440122084579769,0.7440122084579769
370.0,0.7410666093492585,0.7410666093492585
375.0,0.7381339160881396,0.7381339160881396
380.0,0.7352140580796155,0.7352140580796155
385.0,0.7323069653441496,0.7323069653441496
390.0,0.7294125685067439,0.7294125685067439
395.0,0.7265307987863798,0.7265307987863798
400.0,0.7236615879858131,0.7236615879858131
405.0,0.7208048684817023,0.7208048684817023
410.0,0.7179605732150582,0.7179605732150582
415.0,0.7151286356819913,0.7151286356819913
420.0,0.7123089899247519,0.7123089899247519
425.0,0.7095015705230414,0.7095015705230414
430.0,0.7067063125855858,0.7067063125855858
435.0,0.7039231517419585,0.7039231517419585
440.0,0.7011520241346418,0.7011520241346418
445.0,0.6983928664113136,0.6983928664113136
450.0,0.6956456157173538,0.6956456157173538
455.0,0.6929102096885571,0.6929102096885571
460.0,0.6901865864440444,0.6901865864440444
465.0,0.6874746845793658,0.6874746845793658
