fit_time_ms,fit_amplitude,residual
5.0,0.9718952238140581,-3.7400792822772644e-06
10.0,0.9679192274671955,3.9047631481547995e-05
17.5,0.9621484761864751,-4.943695237225043e-05
27.5,0.9545437205532192,-0.00019071913185164657
40.0,0.9451320901552016,-0.00034845314642639735
60.0,0.9302799856870779,-0.0005569468711924541
90.0,0.9084685306576492,-0.0007954416922643093
137.5,0.8750459770580725,-0.0009895512887097002
212.5,0.8249255901712962,-0.0010239559169373802
330.0,0.7524826951810601,-0.0005757397455949942
510.0,0.6543999909646759,0.0005352358278659652
787.5,0.5290409787140169,0.0025325289336126655
1220.0,0.38215109289019134,-0.0014582052772221243
